datetime_et,calendar_date_et,session_date,time_et,session,open,high,low,close,volume
2026-08-25T20:00:00-04:00,2026-08-25,2026-08-26,20:00:00,overnight,350.72,351.27,350.35,350.36,776
2026-08-25T20:01:00-04:00,2026-08-25,2026-08-26,20:01:00,overnight,350.51,350.61,350.43,350.5,193
2026-08-25T20:02:00-04:00,2026-08-25,2026-08-26,20:02:00,overnight,350.5,350.8,350.5,350.5,243
2026-08-25T20:03:00-04:00,2026-08-25,2026-08-26,20:03:00,overnight,350.52,350.58,350.25,350.58,594
2026-08-25T20:04:00-04:00,2026-08-25,2026-08-26,20:04:00,overnight,350.56,350.56,350.47,350.5,100
2026-08-25T20:05:00-04:00,2026-08-25,2026-08-26,20:05:00,overnight,350.48,350.5,350.25,350.32,863
2026-08-25T20:06:00-04:00,2026-08-25,2026-08-26,20:06:00,overnight,350.26,350.28,350.15,350.15,54
2026-08-25T20:07:00-04:00,2026-08-25,2026-08-26,20:07:00,overnight,350.29,350.4,350.26,350.4,216
2026-08-25T20:08:00-04:00,2026-08-25,2026-08-26,20:08:00,overnight,350.43,350.63,350.34,350.52,1503
2026-08-25T20:09:00-04:00,2026-08-25,2026-08-26,20:09:00,overnight,350.59,350.71,350.59,350.59,170
2026-08-25T20:10:00-04:00,2026-08-25,2026-08-26,20:10:00,overnight,350.57,350.59,350.5,350.51,92
2026-08-25T20:12:00-04:00,2026-08-25,2026-08-26,20:12:00,overnight,350.53,350.53,350.42,350.51,124
2026-08-25T20:13:00-04:00,2026-08-25,2026-08-26,20:13:00,overnight,350.61,350.61,350.51,350.51,150
2026-08-25T20:14:00-04:00,2026-08-25,2026-08-26,20:14:00,overnight,350.52,350.52,350.37,350.39,75
2026-08-25T20:16:00-04:00,2026-08-25,2026-08-26,20:16:00,overnight,350.42,350.42,350.39,350.39,31
2026-08-25T20:17:00-04:00,2026-08-25,2026-08-26,20:17:00,overnight,350.41,350.54,350.37,350.52,360
2026-08-25T20:18:00-04:00,2026-08-25,2026-08-26,20:18:00,overnight,350.63,350.7,350.55,350.7,35
2026-08-25T20:19:00-04:00,2026-08-25,2026-08-26,20:19:00,overnight,350.62,350.62,350.41,350.41,100
2026-08-25T20:20:00-04:00,2026-08-25,2026-08-26,20:20:00,overnight,350.55,350.55,350.42,350.42,132
2026-08-25T20:21:00-04:00,2026-08-25,2026-08-26,20:21:00,overnight,350.42,350.42,350.35,350.35,455
2026-08-25T20:22:00-04:00,2026-08-25,2026-08-26,20:22:00,overnight,350.44,350.44,350.3,350.3,295
2026-08-25T20:23:00-04:00,2026-08-25,2026-08-26,20:23:00,overnight,350.3,350.3,350.3,350.3,38
2026-08-25T20:24:00-04:00,2026-08-25,2026-08-26,20:24:00,overnight,350.31,350.31,350.02,350.25,429
2026-08-25T20:25:00-04:00,2026-08-25,2026-08-26,20:25:00,overnight,350.09,350.09,349.97,350.06,1101
2026-08-25T20:26:00-04:00,2026-08-25,2026-08-26,20:26:00,overnight,350.03,350.07,350,350.01,205
2026-08-25T20:27:00-04:00,2026-08-25,2026-08-26,20:27:00,overnight,350.01,350.01,350,350.01,206
2026-08-25T20:28:00-04:00,2026-08-25,2026-08-26,20:28:00,overnight,350.04,350.04,349.76,349.77,1194
2026-08-25T20:29:00-04:00,2026-08-25,2026-08-26,20:29:00,overnight,349.8,349.8,349.79,349.79,124
2026-08-25T20:30:00-04:00,2026-08-25,2026-08-26,20:30:00,overnight,349.9,349.91,349.9,349.91,260
2026-08-25T20:31:00-04:00,2026-08-25,2026-08-26,20:31:00,overnight,349.87,349.87,349.7,349.77,548
2026-08-25T20:32:00-04:00,2026-08-25,2026-08-26,20:32:00,overnight,349.7,349.71,349.47,349.6,1958
2026-08-25T20:33:00-04:00,2026-08-25,2026-08-26,20:33:00,overnight,349.62,349.62,349.62,349.62,6
2026-08-25T20:34:00-04:00,2026-08-25,2026-08-26,20:34:00,overnight,349.61,349.61,349.47,349.47,505
2026-08-25T20:35:00-04:00,2026-08-25,2026-08-26,20:35:00,overnight,349.47,349.53,349.4,349.4,571
2026-08-25T20:36:00-04:00,2026-08-25,2026-08-26,20:36:00,overnight,349.34,349.43,349.25,349.25,247
2026-08-25T20:37:00-04:00,2026-08-25,2026-08-26,20:37:00,overnight,349.23,349.25,349.18,349.25,615
2026-08-25T20:38:00-04:00,2026-08-25,2026-08-26,20:38:00,overnight,349.27,349.37,349.25,349.3,25
2026-08-25T20:39:00-04:00,2026-08-25,2026-08-26,20:39:00,overnight,349.35,349.46,349.31,349.35,166
2026-08-25T20:40:00-04:00,2026-08-25,2026-08-26,20:40:00,overnight,349.36,349.36,349.29,349.29,432
2026-08-25T20:41:00-04:00,2026-08-25,2026-08-26,20:41:00,overnight,349.25,349.33,349.25,349.26,205
